date,dji
03JAN2000,11357.51
04JAN2000,10997.94
05JAN2000,11122.66
06JAN2000,11253.27
07JAN2000,11522.56
10JAN2000,11572.2
11JAN2000,11511.09
12JAN2000,11551.11
13JAN2000,11582.44
14JAN2000,11722.98
17JAN2000,11722.98
18JAN2000,11560.73
19JAN2000,11489.37
20JAN2000,11489.37
21JAN2000,11251.72
24JAN2000,11008.17
25JAN2000,11029.89
26JAN2000,11032.99
27JAN2000,11028.03
28JAN2000,10738.88
31JAN2000,10940.54
01FEB2000,11041.06
02FEB2000,11003.21
03FEB2000,11013.45
04FEB2000,10963.81
07FEB2000,10905.79
08FEB2000,10957.61
09FEB2000,10699.17
10FEB2000,10643.64
11FEB2000,10425.22
14FEB2000,10519.85
15FEB2000,10718.1
16FEB2000,10561.42
17FEB2000,10514.57
18FEB2000,10219.53
21FEB2000,10219.53
22FEB2000,10304.85
23FEB2000,10225.73
24FEB2000,10092.64
25FEB2000,9862.12
28FEB2000,10038.66
29FEB2000,10128.31
01MAR2000,10137.93
02MAR2000,10164.92
03MAR2000,10367.2
06MAR2000,10170.51
07MAR2000,9796.04
08MAR2000,9856.54
09MAR2000,10010.73
10MAR2000,9928.83
13MAR2000,9947.13
14MAR2000,9811.24
15MAR2000,10131.42
16MAR2000,10630.61
17MAR2000,10595.24
20MAR2000,10680.25
21MAR2000,10907.35
22MAR2000,10866.7
23MAR2000,11119.86
24MAR2000,11112.73
27MAR2000,11025.86
28MAR2000,10936.12
29MAR2000,11018.72
30MAR2000,10980.25
31MAR2000,10921.93
03APR2000,11221.94
04APR2000,11164.85
05APR2000,11033.93
06APR2000,11114.28
07APR2000,11111.49
10APR2000,11186.57
11APR2000,11287.09
12APR2000,11125.14
13APR2000,10923.55
14APR2000,10305.78
17APR2000,10582.52
18APR2000,10767.42
19APR2000,10674.97
20APR2000,10844.06
24APR2000,10906.1
25APR2000,11124.83
26APR2000,10945.5
27APR2000,10888.11
28APR2000,10733.92
01MAY2000,10811.79
02MAY2000,10731.13
03MAY2000,10480.13
04MAY2000,10412.5
05MAY2000,10577.86
08MAY2000,10603.64
09MAY2000,10536.75
10MAY2000,10367.79
11MAY2000,10545.97
12MAY2000,10609.37
15MAY2000,10807.78
16MAY2000,10934.57
17MAY2000,10769.74
18MAY2000,10777.28
19MAY2000,10626.86
22MAY2000,10542.55
23MAY2000,10422.28
24MAY2000,10535.35
25MAY2000,10323.92
26MAY2000,10299.24
29MAY2000,10299.26
30MAY2000,10527.14
31MAY2000,10522.34
