date,djc,djct,dji,djit,djt,djtt,dju,djut
03JAN2000,3170.2,4511.09,11357.51,15922.44,2943.67,3569.2,276.72,577.38
04JAN2000,3090.92,4398.27,10997.94,15418.34,2862.17,3470.37,278.51,581.13
05JAN2000,3133.62,4459.33,11122.66,15594.77,2867.36,3476.67,289.11,603.24
06JAN2000,3177.97,4522.44,11253.27,15777.9,2937.08,3561.2,292.64,610.61
07JAN2000,3242.07,4613.65,11522.56,16155.47,2964.72,3594.71,297.78,621.33
10JAN2000,3251.87,4627.6,11572.2,16225.07,2980.5,3613.84,296.37,618.39
11JAN2000,3230.86,4597.7,11511.09,16139.38,2949.57,3576.34,294.38,614.23
12JAN2000,3242.32,4614.65,11551.11,16195.49,2936.24,3560.18,298.23,622.8
13JAN2000,3242.07,4614.28,11582.44,16239.42,2892.89,3507.63,299.8,626.08
14JAN2000,3271.91,4656.76,11722.98,16436.47,2891.63,3506.09,302.24,631.18
17JAN2000,3271.91,4656.76,11722.98,16436.47,2891.63,3506.09,302.24,631.18
18JAN2000,3229.21,4596.4,11560.73,16211.21,2853.61,3460,299.29,625.01
19JAN2000,3216.95,4579.36,11489.37,16113.36,2838.04,3441.12,301.54,629.71
20JAN2000,3216.95,4579.36,11489.37,16113.36,2838.04,3441.12,301.54,629.71
21JAN2000,3179.82,4526.51,11251.72,15780.07,2751.49,3336.17,315.09,658
24JAN2000,3120.31,4441.79,11008.17,15438.5,2702.95,3277.32,312.26,652.1
25JAN2000,3103.18,4417.41,11029.89,15468.96,2654.69,3218.81,305.87,638.76
26JAN2000,3113.71,4432.4,11032.99,15473.31,2664.79,3231.05,310.33,648.08
27JAN2000,3103.61,4418.02,11028.03,15466.35,2615.27,3171.01,310.82,649.08
28JAN2000,3036.27,4322.16,10738.88,15060.83,2581.75,3130.36,306.58,640.23
31JAN2000,3086.1,4393.1,10940.54,15343.65,2571.65,3118.11,315.14,658.11
01FEB2000,3101.97,4415.75,11041.06,15484.62,2576.62,3124.42,312.95,653.55
02FEB2000,3099.09,4412.24,11003.21,15433.28,2609.66,3165.59,311.41,650.33
03FEB2000,3110.58,4429.3,11013.45,15448.96,2621.59,3180.05,315.61,659.47
04FEB2000,3088.05,4397.21,10963.81,15379.33,2608.96,3164.74,309.3,646.28
07FEB2000,3065.74,4365.48,10905.79,15297.95,2572.21,3120.29,306.91,641.3
08FEB2000,3085,4393.84,10957.61,15371.47,2582.8,3133.13,311.31,651.18
09FEB2000,3027.38,4313.87,10699.17,15016.28,2550.32,3093.74,309.43,647.86
10FEB2000,2999.48,4274.41,10643.64,14938.34,2475.27,3003.89,308.09,645.05
11FEB2000,2947.5,4201.32,10425.22,14636.09,2436.14,2957.14,305.97,640.62
14FEB2000,2973.19,4239.42,10519.85,14768.94,2467.28,2996.08,307.05,643.91
15FEB2000,3006.71,4287.22,10718.1,15047.26,2448.9,2973.76,307.42,644.68
16FEB2000,2976.72,4245.47,10561.42,14832.71,2454.79,2980.92,306.11,641.94
17FEB2000,2967.63,4232.51,10514.57,14766.92,2470.36,2999.83,303.99,637.5
18FEB2000,2896.24,4130.69,10219.53,14352.55,2430.8,2951.79,298.86,626.73
21FEB2000,2896.24,4130.69,10219.53,14352.55,2430.8,2951.79,298.86,626.73
22FEB2000,2912.75,4154.24,10304.85,14472.38,2459.14,2986.2,295.9,620.54
23FEB2000,2886.11,4117.72,10225.73,14365.28,2420.28,2940.62,293.52,615.82
24FEB2000,2839.7,4051.49,10092.64,14178.31,2380.3,2892.04,285.53,599.06
25FEB2000,2781.69,3968.74,9862.12,13854.48,2351.26,2856.76,279.99,587.44
28FEB2000,2830.41,4039.85,10038.66,14105.6,2361.78,2869.55,288.15,605.44
29FEB2000,2853.08,4072.22,10128.31,14231.58,2388.86,2902.44,288.48,606.15
01MAR2000,2854.79,4075.53,10137.93,14247.12,2397.77,2914.12,287.38,604.08
02MAR2000,2851.85,4071.34,10164.92,14285.05,2353.93,2860.84,287.98,605.35
03MAR2000,2909.48,4153.61,10367.2,14569.32,2434.45,2958.7,290.2,610
06MAR2000,2845.14,4062.28,10170.51,14295.7,2376.1,2887.78,280.8,590.25
07MAR2000,2751.56,3928.72,9796.04,13769.62,2263.59,2751.04,279.99,588.55
08MAR2000,2774.9,3964.14,9856.54,13854.66,2352.53,2860.84,276.47,582.58
09MAR2000,2799.81,3999.89,10010.73,14071.4,2341.44,2848.01,275.69,580.96
10MAR2000,2793.05,3990.23,9928.83,13956.27,2365.29,2877.01,277.74,585.27
13MAR2000,2799.87,4000.86,9947.13,13983.18,2391.95,2910.54,276.57,583.14
14MAR2000,2768.49,3956.01,9811.24,13792.16,2381.77,2898.16,274.12,577.97
15MAR2000,2873.18,4105.7,10131.42,14242.68,2521.71,3068.43,284.02,598.85
16MAR2000,3017.25,4312.96,10630.61,14951.76,2678.87,3259.68,295.77,623.62
17MAR2000,2989.88,4273.84,10595.24,14902.02,2623.82,3192.69,289.93,611.3
20MAR2000,2997.83,4285.41,10680.25,15022.7,2599.59,3163.21,288.05,607.34
21MAR2000,3056.28,4368.97,10907.35,15342.14,2667.81,3246.21,289.66,610.74
22MAR2000,3040.97,4347.21,10866.7,15284.97,2651.65,3227.1,287.01,605.15
23MAR2000,3105.05,4438.81,11119.86,15641.06,2720.76,3311.2,288.95,609.25
24MAR2000,3094.5,4423.72,11112.73,15631.03,2688.15,3271.52,287.28,605.71
27MAR2000,3080.23,4403.33,11025.86,15508.84,2667.81,3246.76,290.7,612.93
28MAR2000,3055.05,4367.33,10936.12,15382.61,2680.97,3262.78,284.35,599.56
29MAR2000,3083.36,4408.63,11018.72,15500.35,2690.24,3274.06,290.77,613.54
30MAR2000,3072.34,4392.88,10980.25,15446.23,2679.47,3260.96,289.76,611.41
31MAR2000,3081.16,4405.48,10921.93,15364.18,2763.24,3362.91,291.77,615.66
03APR2000,3128.59,4473.69,11221.94,15786.22,2706.1,3293.36,293.18,618.96
04APR2000,3122.45,4464.9,11164.85,15705.91,2724.95,3316.3,293.69,620.02
05APR2000,3119.26,4460.34,11033.93,15521.74,2824.28,3437.18,294.86,622.5
06APR2000,3134.92,4483.06,11114.28,15636.56,2847.32,3465.22,292.65,617.82
07APR2000,3131.35,4477.96,11111.49,15632.63,2827.72,3441.37,293.08,618.74
10APR2000,3159.04,4517.56,11186.57,15738.26,2843.13,3460.13,299.26,631.78
11APR2000,3194.47,4568.23,11287.09,15879.68,2921.81,3555.88,300.06,633.48
12APR2000,3180.09,4547.67,11125.14,15651.84,2952.63,3593.39,305.8,645.6
13APR2000,3147.8,4501.49,10923.55,15368.23,2903.56,3533.68,314.43,663.82
14APR2000,2979.85,4261.31,10305.78,14499.08,2727.04,3318.85,303.86,641.49
17APR2000,3026.01,4327.32,10582.52,14888.43,2678.58,3259.87,306.07,646.17
18APR2000,3075.53,4398.58,10767.42,15150.84,2769.53,3370.56,304.53,642.91
19APR2000,3068.86,4389.47,10674.97,15023,2805.43,3414.25,306.64,647.37
20APR2000,3113.05,4453,10844.06,15262.66,2833.25,3448.11,310.81,656.16
24APR2000,3128.54,4475.14,10906.1,15350,2805.13,3413.88,316.21,667.57
25APR2000,3205.2,4584.81,11124.83,15657.84,2914.03,3546.42,324.7,685.5
26APR2000,3174.75,4541.26,10945.5,15405.45,2883.51,3509.28,329.91,696.48
27APR2000,3146.51,4501.51,10888.11,15325.78,2836.84,3452.48,325.01,686.51
28APR2000,3107.72,4446.01,10733.92,15108.74,2850.01,3468.5,317.75,671.2
01MAY2000,3127.55,4474.38,10811.79,15218.36,2858.68,3479.06,319.84,675.59
02MAY2000,3105.75,4443.19,10731.13,15104.82,2842.53,3459.4,317.75,671.2
03MAY2000,3047.7,4360.77,10480.13,14753.44,2796.45,3404.47,316.48,668.5
04MAY2000,3042.19,4353.18,10412.5,14658.23,2794.96,3403.96,320.78,677.58
05MAY2000,3084.48,4413.75,10577.86,14891.02,2876.11,3503.03,318.26,672.26
08MAY2000,3108.65,4449.38,10603.64,14928.26,2935.87,3575.97,322.45,681.81
09MAY2000,3086.5,4417.68,10536.75,14834.11,2904.16,3537.35,320.47,677.63
10MAY2000,3055.91,4375.57,10367.79,14600.85,2863.17,3487.71,325.31,688.48
11MAY2000,3110.57,4455.12,10545.97,14858.02,2901.39,3534.85,333.3,705.39
12MAY2000,3108.26,4451.86,10609.37,14947.33,2874.02,3501.51,328.9,696.13
15MAY2000,3142.8,4502.12,10807.78,15226.87,2838.04,3457.67,332.29,703.93
16MAY2000,3166.44,4535.98,10934.57,15405.51,2865.27,3490.84,329.67,698.38
17MAY2000,3120.58,4471.64,10769.74,15180.65,2840.43,3460.59,323.66,685.65
18MAY2000,3119.47,4470.05,10777.28,15191.27,2796.75,3407.37,327.22,693.19
19MAY2000,3083.06,4418.32,10626.86,14981.67,2742,3340.67,328.3,695.47
22MAY2000,3069.05,4398.25,10542.55,14862.82,2720.16,3314.06,331.38,702.01
23MAY2000,3044.92,4364.08,10422.28,14693.25,2754.27,3357.38,326.21,691.06
24MAY2000,3080.04,4415.55,10535.35,14852.67,2829.06,3449.46,325.85,691.01
25MAY2000,3017.7,4327.29,10323.92,14554.6,2717.77,3315.51,325.14,690.05
26MAY2000,3011.29,4318.08,10299.24,14519.82,2687.55,3278.64,327.46,694.97
29MAY2000,3011.29,4318.08,10299.26,14519.82,2687.55,3278.64,327.46,694.97
30MAY2000,3058.5,4386.6,10527.14,14844.56,2741.7,3344.7,324.74,689.34
31MAY2000,3058.07,4386.39,10522.34,14840.03,2709.99,3306.04,328.53,697.39
01JUN2000,3093.86,4437.74,10652.2,15023.2,2776.71,3387.44,327.79,695.83
02JUN2000,3121.76,4477.75,10794.76,15224.25,2829.36,3451.68,323.09,685.85
05JUN2000,3104.05,4452.36,10815.31,15253.23,2800.34,3416.27,314.83,668.32
06JUN2000,3095.76,4440.47,10735.58,15140.78,2766.54,3375.03,321.85,683.21
07JUN2000,3112.84,4466.82,10812.87,15249.79,2797.35,3412.62,320.14,681.05
08JUN2000,3081.62,4422.01,10668.73,15046.5,2750.68,3355.68,322.45,685.97
09JUN2000,3086.42,4428.9,10614.07,14969.41,2790.17,3403.86,325.88,693.26
12JUN2000,3081.7,4422.59,10564.21,14899.1,2781.5,3395.14,329.07,700.04
13JUN2000,3087.67,4432.34,10621.85,14982.06,2754.87,3364.38,329.77,701.88
14JUN2000,3087.3,4431.89,10687.96,15075.8,2748.28,3356.34,324.03,689.67
15JUN2000,3089.04,4434.39,10714.83,15113.7,2704.53,3302.9,327.32,696.67
16JUN2000,3033,4354.62,10449.31,14742.91,2673.19,3264.63,326.15,694.17
19JUN2000,3049.04,4377.89,10557.85,14897.34,2680.67,3273.76,323.56,688.67
20JUN2000,3024.5,4342.66,10435.17,14724.23,2662.72,3251.84,324.13,689.88
21JUN2000,3035.55,4358.65,10497.75,14812.53,2649.41,3236.12,325.58,692.95
22JUN2000,3001.54,4311.25,10376.12,14648.81,2612.76,3191.36,323.09,687.67
23JUN2000,3011.98,4326.25,10404.76,14689.25,2630.71,3213.28,323.93,689.45
26JUN2000,3031.43,4354.17,10543,14884.41,2614.55,3193.55,322.99,687.45
27JUN2000,3019.22,4336.64,10504.47,14830,2680.97,3274.68,312.69,665.52
28JUN2000,3044.01,4373.15,10527.8,14864.71,2719.86,3322.18,319.33,680.13
29JUN2000,3009.78,4323.98,10398.04,14681.5,2708.79,3308.66,314.63,670.12
30JUN2000,2990.84,4297.18,10447.9,14751.89,2645.37,3231.19,306.91,653.99
03JUL2000,3037.51,4364.07,10560.68,14911.13,2704.83,3303.18,314.43,670.01
04JUL2000,3037.4,4364.07,10560.68,14911.13,2704.31,3303.18,314.43,670.01
05JUL2000,3031.17,4355.43,10483.6,14804.02,2770.13,3383.58,311.04,662.79
06JUL2000,3044.95,4375.6,10481.48,14803.06,2806.63,3428.16,314.5,670.16
07JUL2000,3074.62,4418.23,10635.99,15021.27,2784.64,3401.3,318.12,677.88
10JUL2000,3091.13,4441.96,10646.59,15036.25,2809.02,3431.09,323.19,688.68
11JUL2000,3114.98,4476.23,10727.19,15150.09,2817.1,3440.95,327.36,697.55
12JUL2000,3135.62,4506.34,10783.42,15229.48,2882.02,3522.12,325.74,694.12
13JUL2000,3141.22,4514.39,10788.72,15236.98,2888.6,3530.16,327.49,697.84
14JUL2000,3148.44,4524.77,10812.75,15270.93,2919.04,3567.37,325.64,693.9
17JUL2000,3144.48,4519.09,10804.27,15258.95,2900.27,3544.42,326.45,695.62
18JUL2000,3135.92,4507.28,10739.92,15170.77,2899.37,3543.33,328.09,699.13
19JUL2000,3116.29,4479.57,10696.08,15111.63,2805.73,3428.88,332.29,708.07
20JUL2000,3134.1,4505.17,10843.87,15320.42,2794.06,3414.62,329.07,701.2
21JUL2000,3118.18,4482.29,10733.56,15164.58,2808.42,3432.17,329.44,701.99
24JUL2000,3110,4470.53,10685.12,15096.14,2820.09,3446.43,328.36,699.7
25JUL2000,3113.15,4475.05,10699.97,15117.12,2809.32,3433.27,329.84,702.84
26JUL2000,3069.55,4412.38,10516.48,14857.88,2800.34,3422.3,325.01,692.54
27JUL2000,3091.13,4443.4,10586.13,14956.28,2799.75,3421.57,329.97,703.13
28JUL2000,3068.23,4410.48,10511.17,14850.39,2769.53,3384.64,328.26,699.48
31JUL2000,3083.81,4432.88,10521.98,14865.65,2858.09,3492.87,325.47,693.55
01AUG2000,3117.82,4482.1,10606.95,14985.71,2875.44,3515.4,333.5,710.64
02AUG2000,3142.69,4518.34,10687.53,15100.6,2874.54,3515.47,339.2,722.8
03AUG2000,3157.86,4540.96,10706.58,15129.22,2887.11,3530.84,343.97,733.35
04AUG2000,3174.12,4564.34,10767.75,15215.65,2886.81,3530.47,346.89,739.57
07AUG2000,3206.83,4611.4,10867.01,15355.91,2894.21,3539.68,354.04,754.82
08AUG2000,3231.52,4648.01,10976.89,15512.27,2892.19,3537.21,357.1,762.02
09AUG2000,3203.69,4609.72,10905.83,15417.13,2847.91,3483.05,354.04,756.13
