gvkey,iid,datadate,tic,conm,prccd
001447,01,20000103,AXP,AMERICAN EXPRESS CO,157.2500
001447,01,20000104,AXP,AMERICAN EXPRESS CO,151.3125
001447,01,20000105,AXP,AMERICAN EXPRESS CO,147.2500
001447,01,20000106,AXP,AMERICAN EXPRESS CO,150.2500
001447,01,20000107,AXP,AMERICAN EXPRESS CO,152.4375
001447,01,20000110,AXP,AMERICAN EXPRESS CO,154.5625
001447,01,20000111,AXP,AMERICAN EXPRESS CO,156.0000
001447,01,20000112,AXP,AMERICAN EXPRESS CO,155.1875
001447,01,20000113,AXP,AMERICAN EXPRESS CO,156.0000
001447,01,20000114,AXP,AMERICAN EXPRESS CO,159.5000
001447,01,20000118,AXP,AMERICAN EXPRESS CO,151.5625
001447,01,20000119,AXP,AMERICAN EXPRESS CO,148.9375
001447,01,20000120,AXP,AMERICAN EXPRESS CO,152.4375
001447,01,20000121,AXP,AMERICAN EXPRESS CO,151.6875
001447,01,20000124,AXP,AMERICAN EXPRESS CO,152.0000
001447,01,20000125,AXP,AMERICAN EXPRESS CO,158.3750
001447,01,20000126,AXP,AMERICAN EXPRESS CO,159.7500
001447,01,20000127,AXP,AMERICAN EXPRESS CO,162.9375
001447,01,20000128,AXP,AMERICAN EXPRESS CO,158.2500
001447,01,20000131,AXP,AMERICAN EXPRESS CO,164.7500
001447,01,20000201,AXP,AMERICAN EXPRESS CO,169.0000
001447,01,20000202,AXP,AMERICAN EXPRESS CO,164.1875
001447,01,20000203,AXP,AMERICAN EXPRESS CO,162.8750
001447,01,20000204,AXP,AMERICAN EXPRESS CO,161.4375
001447,01,20000207,AXP,AMERICAN EXPRESS CO,162.4375
001447,01,20000208,AXP,AMERICAN EXPRESS CO,163.0000
001447,01,20000209,AXP,AMERICAN EXPRESS CO,156.5625
001447,01,20000210,AXP,AMERICAN EXPRESS CO,154.5000
001447,01,20000211,AXP,AMERICAN EXPRESS CO,153.5000
001447,01,20000214,AXP,AMERICAN EXPRESS CO,154.0000
001447,01,20000215,AXP,AMERICAN EXPRESS CO,159.1250
001447,01,20000216,AXP,AMERICAN EXPRESS CO,153.8438
001447,01,20000217,AXP,AMERICAN EXPRESS CO,147.9375
001447,01,20000218,AXP,AMERICAN EXPRESS CO,137.8750
001447,01,20000222,AXP,AMERICAN EXPRESS CO,139.1250
001447,01,20000223,AXP,AMERICAN EXPRESS CO,138.1250
001447,01,20000224,AXP,AMERICAN EXPRESS CO,130.0000
001447,01,20000225,AXP,AMERICAN EXPRESS CO,124.7500
001447,01,20000228,AXP,AMERICAN EXPRESS CO,132.6250
001447,01,20000229,AXP,AMERICAN EXPRESS CO,134.1875
001447,01,20000301,AXP,AMERICAN EXPRESS CO,135.5000
001447,01,20000302,AXP,AMERICAN EXPRESS CO,133.5625
001447,01,20000303,AXP,AMERICAN EXPRESS CO,133.5000
001447,01,20000306,AXP,AMERICAN EXPRESS CO,129.2500
001447,01,20000307,AXP,AMERICAN EXPRESS CO,126.3750
001447,01,20000308,AXP,AMERICAN EXPRESS CO,122.7500
001447,01,20000309,AXP,AMERICAN EXPRESS CO,122.7500
001447,01,20000310,AXP,AMERICAN EXPRESS CO,126.6875
001447,01,20000313,AXP,AMERICAN EXPRESS CO,126.5625
001447,01,20000314,AXP,AMERICAN EXPRESS CO,128.4375
001447,01,20000315,AXP,AMERICAN EXPRESS CO,132.8750
001447,01,20000316,AXP,AMERICAN EXPRESS CO,143.7500
001447,01,20000317,AXP,AMERICAN EXPRESS CO,143.6250
001447,01,20000320,AXP,AMERICAN EXPRESS CO,142.0000
001447,01,20000321,AXP,AMERICAN EXPRESS CO,145.8750
001447,01,20000322,AXP,AMERICAN EXPRESS CO,147.7500
001447,01,20000323,AXP,AMERICAN EXPRESS CO,156.0000
001447,01,20000324,AXP,AMERICAN EXPRESS CO,155.6250
001447,01,20000327,AXP,AMERICAN EXPRESS CO,150.5000
001447,01,20000328,AXP,AMERICAN EXPRESS CO,152.5000
001447,01,20000329,AXP,AMERICAN EXPRESS CO,151.6250
001447,01,20000330,AXP,AMERICAN EXPRESS CO,149.0000
001447,01,20000331,AXP,AMERICAN EXPRESS CO,148.9375
001447,01,20000403,AXP,AMERICAN EXPRESS CO,155.5000
001447,01,20000404,AXP,AMERICAN EXPRESS CO,147.0000
001447,01,20000405,AXP,AMERICAN EXPRESS CO,144.5000
001447,01,20000406,AXP,AMERICAN EXPRESS CO,141.0000
001447,01,20000407,AXP,AMERICAN EXPRESS CO,139.0625
001447,01,20000410,AXP,AMERICAN EXPRESS CO,143.1875
001447,01,20000411,AXP,AMERICAN EXPRESS CO,145.1875
001447,01,20000412,AXP,AMERICAN EXPRESS CO,150.7500
001447,01,20000413,AXP,AMERICAN EXPRESS CO,146.0000
001447,01,20000414,AXP,AMERICAN EXPRESS CO,134.0000
001447,01,20000417,AXP,AMERICAN EXPRESS CO,134.0000
001447,01,20000418,AXP,AMERICAN EXPRESS CO,139.9375
001447,01,20000419,AXP,AMERICAN EXPRESS CO,139.5000
001447,01,20000420,AXP,AMERICAN EXPRESS CO,143.0000
001447,01,20000424,AXP,AMERICAN EXPRESS CO,150.0625
001447,01,20000425,AXP,AMERICAN EXPRESS CO,158.0000
001447,01,20000426,AXP,AMERICAN EXPRESS CO,154.6250
001447,01,20000427,AXP,AMERICAN EXPRESS CO,155.0000
001447,01,20000428,AXP,AMERICAN EXPRESS CO,149.5000
001447,01,20000501,AXP,AMERICAN EXPRESS CO,151.3750
001447,01,20000502,AXP,AMERICAN EXPRESS CO,148.0625
001447,01,20000503,AXP,AMERICAN EXPRESS CO,142.0000
001447,01,20000504,AXP,AMERICAN EXPRESS CO,144.7500
001447,01,20000505,AXP,AMERICAN EXPRESS CO,146.1250
001447,01,20000508,AXP,AMERICAN EXPRESS CO,152.0625
001447,01,20000509,AXP,AMERICAN EXPRESS CO,148.0000
001447,01,20000510,AXP,AMERICAN EXPRESS CO,143.3750
001447,01,20000511,AXP,AMERICAN EXPRESS CO,49.5000
001447,01,20000512,AXP,AMERICAN EXPRESS CO,50.2500
001447,01,20000515,AXP,AMERICAN EXPRESS CO,52.1875
001447,01,20000516,AXP,AMERICAN EXPRESS CO,51.1250
001447,01,20000517,AXP,AMERICAN EXPRESS CO,50.9375
001447,01,20000518,AXP,AMERICAN EXPRESS CO,51.8125
001447,01,20000519,AXP,AMERICAN EXPRESS CO,50.3125
001447,01,20000522,AXP,AMERICAN EXPRESS CO,49.6250
001447,01,20000523,AXP,AMERICAN EXPRESS CO,50.7500
001447,01,20000524,AXP,AMERICAN EXPRESS CO,50.0000
001447,01,20000525,AXP,AMERICAN EXPRESS CO,48.8750
001447,01,20000526,AXP,AMERICAN EXPRESS CO,49.0625
001447,01,20000530,AXP,AMERICAN EXPRESS CO,50.6250
001447,01,20000531,AXP,AMERICAN EXPRESS CO,54.0000
001447,01,20000601,AXP,AMERICAN EXPRESS CO,53.8750
001447,01,20000602,AXP,AMERICAN EXPRESS CO,56.5000
